dataset_file,dataset_row,problem_id,verdict,mentor_state,split
test-00000-of-00001.parquet,682165,688/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,119444,268/B,OK,accepted,train
train-00006-of-00009.parquet,440109,551/A,OK,accepted,train
test-00000-of-00001.parquet,628996,0/none,WRONG_ANSWER,semantic_debug,train
test-00000-of-00001.parquet,642762,296/A,OK,accepted,train
train-00007-of-00009.parquet,495614,862/A,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,58789,59/A,WRONG_ANSWER,semantic_debug,train
train-00003-of-00009.parquet,260621,50/A,RUNTIME_ERROR,execution_safety,train
test-00000-of-00001.parquet,682693,630/A,OK,accepted,train
train-00002-of-00009.parquet,185146,535/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,541266,304/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00004-of-00009.parquet,309496,731/A,WRONG_ANSWER,semantic_debug,train
train-00002-of-00009.parquet,192884,112/A,WRONG_ANSWER,semantic_debug,train
train-00005-of-00009.parquet,398504,873/A,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,555978,869/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00003-of-00009.parquet,208009,82/A,RUNTIME_ERROR,execution_safety,train
train-00003-of-00009.parquet,247464,596/B,WRONG_ANSWER,semantic_debug,test
train-00004-of-00009.parquet,301430,146/A,OK,accepted,test
train-00001-of-00009.parquet,100468,549/A,RUNTIME_ERROR,execution_safety,train
train-00002-of-00009.parquet,147457,629/B,RUNTIME_ERROR,execution_safety,train
train-00002-of-00009.parquet,146918,43/A,COMPILATION_ERROR,syntax_repair,test
test-00000-of-00001.parquet,621529,618/A,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,565825,339/A,RUNTIME_ERROR,execution_safety,train
train-00006-of-00009.parquet,454338,8/A,RUNTIME_ERROR,execution_safety,test
train-00008-of-00009.parquet,564132,443/A,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,43231,581/A,RUNTIME_ERROR,execution_safety,train
train-00006-of-00009.parquet,430620,181/A,WRONG_ANSWER,semantic_debug,test
train-00008-of-00009.parquet,555825,363/B,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,591492,801/A,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,67627,618/A,RUNTIME_ERROR,execution_safety,train
train-00007-of-00009.parquet,496532,50/A,RUNTIME_ERROR,execution_safety,train
train-00008-of-00009.parquet,600258,252/A,COMPILATION_ERROR,syntax_repair,test
train-00006-of-00009.parquet,422444,572/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00003-of-00009.parquet,266764,384/A,OK,accepted,train
test-00000-of-00001.parquet,622420,376/A,OK,accepted,train
train-00000-of-00009.parquet,8542,688/B,RUNTIME_ERROR,execution_safety,train
test-00000-of-00001.parquet,626984,637/B,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00001-of-00009.parquet,104580,38/A,OK,accepted,train
train-00006-of-00009.parquet,458024,0/none,COMPILATION_ERROR,syntax_repair,train
train-00001-of-00009.parquet,134428,707/A,WRONG_ANSWER,semantic_debug,train
train-00004-of-00009.parquet,300409,82/A,COMPILATION_ERROR,syntax_repair,train
test-00000-of-00001.parquet,636251,580/A,WRONG_ANSWER,semantic_debug,test
train-00000-of-00009.parquet,10804,50/A,OK,accepted,train
train-00007-of-00009.parquet,538540,842/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00004-of-00009.parquet,312234,750/A,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,454489,978/B,RUNTIME_ERROR,execution_safety,train
train-00003-of-00009.parquet,237973,844/A,WRONG_ANSWER,semantic_debug,test
train-00007-of-00009.parquet,503451,38/A,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,562102,236/A,OK,accepted,train
train-00006-of-00009.parquet,449069,258/A,OK,accepted,train
test-00000-of-00001.parquet,645367,237/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00007-of-00009.parquet,541928,69/A,WRONG_ANSWER,semantic_debug,test
train-00000-of-00009.parquet,65918,401/A,OK,accepted,test
train-00001-of-00009.parquet,110913,777/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00004-of-00009.parquet,296355,157/B,OK,accepted,train
train-00004-of-00009.parquet,300426,584/A,COMPILATION_ERROR,syntax_repair,train
train-00006-of-00009.parquet,474055,0/none,TIME_LIMIT_EXCEEDED,efficiency_review,train
test-00000-of-00001.parquet,633303,955/A,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,23744,302/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,130155,0/none,OK,accepted,train
train-00003-of-00009.parquet,265572,768/A,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,24947,61/A,RUNTIME_ERROR,execution_safety,train
train-00001-of-00009.parquet,126080,104/A,COMPILATION_ERROR,syntax_repair,train
train-00002-of-00009.parquet,189078,898/B,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00006-of-00009.parquet,445925,832/A,WRONG_ANSWER,semantic_debug,test
train-00005-of-00009.parquet,356181,902/A,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,430753,1/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00003-of-00009.parquet,267599,266/B,RUNTIME_ERROR,execution_safety,train
train-00001-of-00009.parquet,114474,227/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,81066,984/A,COMPILATION_ERROR,syntax_repair,train
train-00001-of-00009.parquet,106383,0/none,RUNTIME_ERROR,execution_safety,train
train-00006-of-00009.parquet,482043,1/A,OK,accepted,train
train-00006-of-00009.parquet,422514,916/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00003-of-00009.parquet,269848,50/A,RUNTIME_ERROR,execution_safety,train
train-00008-of-00009.parquet,586481,59/A,OK,accepted,train
train-00007-of-00009.parquet,515132,609/A,OK,accepted,train
train-00001-of-00009.parquet,89543,721/A,OK,accepted,test
train-00004-of-00009.parquet,314559,0/none,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00004-of-00009.parquet,343018,876/A,COMPILATION_ERROR,syntax_repair,train
train-00007-of-00009.parquet,503832,159/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
test-00000-of-00001.parquet,656162,659/C,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,136828,259/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,526469,591/B,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00006-of-00009.parquet,467246,41/A,WRONG_ANSWER,semantic_debug,train
test-00000-of-00001.parquet,623296,525/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,119250,6/A,WRONG_ANSWER,semantic_debug,train
train-00003-of-00009.parquet,250789,16/B,WRONG_ANSWER,semantic_debug,train
train-00002-of-00009.parquet,168707,709/A,WRONG_ANSWER,semantic_debug,test
test-00000-of-00001.parquet,665854,934/B,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,481097,90/B,RUNTIME_ERROR,execution_safety,test
train-00004-of-00009.parquet,305051,554/B,OK,accepted,train
train-00003-of-00009.parquet,267522,768/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,484308,749/A,OK,accepted,train
train-00001-of-00009.parquet,106256,507/A,RUNTIME_ERROR,execution_safety,train
train-00003-of-00009.parquet,261543,103/A,OK,accepted,train
train-00008-of-00009.parquet,567318,58/A,RUNTIME_ERROR,execution_safety,train
train-00002-of-00009.parquet,201360,355/A,OK,accepted,train
train-00006-of-00009.parquet,441461,670/A,COMPILATION_ERROR,syntax_repair,test
train-00000-of-00009.parquet,17590,931/A,OK,accepted,train
test-00000-of-00001.parquet,642951,0/none,COMPILATION_ERROR,syntax_repair,train
train-00005-of-00009.parquet,370301,548/A,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,462821,344/A,RUNTIME_ERROR,execution_safety,test
train-00003-of-00009.parquet,271177,701/A,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,478424,501/B,RUNTIME_ERROR,execution_safety,train
train-00008-of-00009.parquet,615552,53/C,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00006-of-00009.parquet,452492,47/A,RUNTIME_ERROR,execution_safety,train
test-00000-of-00001.parquet,636001,461/A,MEMORY_LIMIT_EXCEEDED,execution_safety,train
train-00005-of-00009.parquet,367821,262/B,RUNTIME_ERROR,execution_safety,train
train-00002-of-00009.parquet,138813,703/A,WRONG_ANSWER,semantic_debug,test
train-00006-of-00009.parquet,445657,272/A,OK,accepted,train
train-00007-of-00009.parquet,528050,716/A,OK,accepted,train
train-00000-of-00009.parquet,28853,237/A,OK,accepted,train
train-00003-of-00009.parquet,254620,411/A,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,587410,336/A,RUNTIME_ERROR,execution_safety,test
train-00002-of-00009.parquet,141744,115/A,WRONG_ANSWER,semantic_debug,test
train-00000-of-00009.parquet,29040,227/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00000-of-00009.parquet,2456,12/A,OK,accepted,train
train-00004-of-00009.parquet,342703,672/B,WRONG_ANSWER,semantic_debug,test
train-00001-of-00009.parquet,89742,0/none,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00008-of-00009.parquet,557631,994/A,OK,accepted,test
train-00005-of-00009.parquet,389361,228/A,WRONG_ANSWER,semantic_debug,test
train-00005-of-00009.parquet,364010,59/A,RUNTIME_ERROR,execution_safety,train
train-00007-of-00009.parquet,528456,733/A,COMPILATION_ERROR,syntax_repair,train
train-00007-of-00009.parquet,532569,92/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00008-of-00009.parquet,602730,26/A,OK,accepted,train
train-00005-of-00009.parquet,391699,433/B,OK,accepted,train
train-00000-of-00009.parquet,7849,707/A,MEMORY_LIMIT_EXCEEDED,execution_safety,train
train-00003-of-00009.parquet,256650,998/B,RUNTIME_ERROR,execution_safety,train
train-00006-of-00009.parquet,463617,50/A,WRONG_ANSWER,semantic_debug,train
train-00004-of-00009.parquet,338459,347/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,134642,370/A,RUNTIME_ERROR,execution_safety,test
train-00008-of-00009.parquet,606841,50/A,COMPILATION_ERROR,syntax_repair,train
train-00007-of-00009.parquet,551991,427/A,OK,accepted,train
train-00007-of-00009.parquet,492062,785/A,COMPILATION_ERROR,syntax_repair,train
train-00002-of-00009.parquet,187518,112/A,WRONG_ANSWER,semantic_debug,train
train-00001-of-00009.parquet,83975,318/A,RUNTIME_ERROR,execution_safety,train
train-00004-of-00009.parquet,343342,548/A,RUNTIME_ERROR,execution_safety,train
train-00004-of-00009.parquet,301580,580/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00008-of-00009.parquet,560389,747/B,COMPILATION_ERROR,syntax_repair,train
train-00000-of-00009.parquet,61920,227/B,OK,accepted,train
train-00005-of-00009.parquet,412879,0/none,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,479523,593/A,RUNTIME_ERROR,execution_safety,train
train-00005-of-00009.parquet,399199,318/A,RUNTIME_ERROR,execution_safety,train
train-00004-of-00009.parquet,288793,637/B,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00003-of-00009.parquet,275762,998/B,OK,accepted,train
train-00003-of-00009.parquet,263763,770/A,OK,accepted,train
test-00000-of-00001.parquet,643684,237/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00002-of-00009.parquet,158174,22/A,RUNTIME_ERROR,execution_safety,train
train-00001-of-00009.parquet,121815,61/A,RUNTIME_ERROR,execution_safety,train
train-00004-of-00009.parquet,299204,842/A,WRONG_ANSWER,semantic_debug,train
train-00003-of-00009.parquet,209638,342/A,OK,accepted,train
train-00004-of-00009.parquet,299312,805/B,RUNTIME_ERROR,execution_safety,train
train-00006-of-00009.parquet,447045,702/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,520884,0/none,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00005-of-00009.parquet,390127,560/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,78383,411/A,OK,accepted,train
train-00007-of-00009.parquet,521330,822/A,COMPILATION_ERROR,syntax_repair,test
train-00001-of-00009.parquet,127934,9/A,WRONG_ANSWER,semantic_debug,train
train-00001-of-00009.parquet,92667,712/B,OK,accepted,train
train-00006-of-00009.parquet,474008,779/C,OK,accepted,train
test-00000-of-00001.parquet,665636,723/A,OK,accepted,train
train-00003-of-00009.parquet,266307,620/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00002-of-00009.parquet,186573,599/A,RUNTIME_ERROR,execution_safety,train
train-00001-of-00009.parquet,121274,556/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00004-of-00009.parquet,278519,707/A,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,23018,678/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00002-of-00009.parquet,182489,677/A,OK,accepted,train
train-00003-of-00009.parquet,247540,822/A,RUNTIME_ERROR,execution_safety,test
train-00005-of-00009.parquet,374600,0/none,WRONG_ANSWER,semantic_debug,train
train-00003-of-00009.parquet,215001,959/A,COMPILATION_ERROR,syntax_repair,test
train-00005-of-00009.parquet,386540,59/A,RUNTIME_ERROR,execution_safety,train
train-00001-of-00009.parquet,114884,667/A,COMPILATION_ERROR,syntax_repair,train
train-00000-of-00009.parquet,15134,363/B,WRONG_ANSWER,semantic_debug,train
train-00000-of-00009.parquet,9457,989/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00007-of-00009.parquet,525484,133/A,OK,accepted,train
train-00003-of-00009.parquet,213337,129/A,OK,accepted,train
train-00001-of-00009.parquet,135950,11/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00000-of-00009.parquet,43465,591/A,OK,accepted,train
test-00000-of-00001.parquet,662382,664/A,RUNTIME_ERROR,execution_safety,test
train-00001-of-00009.parquet,77051,688/A,WRONG_ANSWER,semantic_debug,train
train-00003-of-00009.parquet,258603,554/A,OK,accepted,test
train-00000-of-00009.parquet,52378,327/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,483829,754/A,COMPILATION_ERROR,syntax_repair,test
train-00006-of-00009.parquet,418838,404/A,WRONG_ANSWER,semantic_debug,test
train-00007-of-00009.parquet,532125,432/A,WRONG_ANSWER,semantic_debug,test
test-00000-of-00001.parquet,651107,9/A,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,576500,0/none,WRONG_ANSWER,semantic_debug,train
train-00004-of-00009.parquet,298668,0/none,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00003-of-00009.parquet,250764,939/A,OK,accepted,train
train-00008-of-00009.parquet,561423,302/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,72361,898/B,OK,accepted,test
test-00000-of-00001.parquet,629457,385/A,OK,accepted,train
train-00007-of-00009.parquet,486775,219/A,RUNTIME_ERROR,execution_safety,train
train-00004-of-00009.parquet,323876,284/B,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,74961,770/A,RUNTIME_ERROR,execution_safety,train
train-00006-of-00009.parquet,415353,0/none,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,523698,4/A,RUNTIME_ERROR,execution_safety,test
train-00006-of-00009.parquet,476237,735/A,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,592120,0/none,COMPILATION_ERROR,syntax_repair,train
train-00008-of-00009.parquet,572002,899/A,WRONG_ANSWER,semantic_debug,test
train-00004-of-00009.parquet,342364,482/A,MEMORY_LIMIT_EXCEEDED,execution_safety,train
test-00000-of-00001.parquet,634555,558/A,RUNTIME_ERROR,execution_safety,test
train-00000-of-00009.parquet,57492,327/A,RUNTIME_ERROR,execution_safety,train
train-00001-of-00009.parquet,74426,18/C,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00006-of-00009.parquet,449387,534/A,WRONG_ANSWER,semantic_debug,train
train-00001-of-00009.parquet,113476,151/A,OK,accepted,train
train-00007-of-00009.parquet,528527,115/A,RUNTIME_ERROR,execution_safety,test
train-00007-of-00009.parquet,505151,749/A,WRONG_ANSWER,semantic_debug,train
train-00008-of-00009.parquet,616150,43/A,COMPILATION_ERROR,syntax_repair,test
train-00002-of-00009.parquet,177248,71/A,RUNTIME_ERROR,execution_safety,train
train-00008-of-00009.parquet,564174,768/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00005-of-00009.parquet,354735,136/A,OK,accepted,train
train-00005-of-00009.parquet,362403,505/A,COMPILATION_ERROR,syntax_repair,test
train-00007-of-00009.parquet,488122,707/A,OK,accepted,train
train-00000-of-00009.parquet,55113,499/B,OK,accepted,test
train-00007-of-00009.parquet,524208,59/A,RUNTIME_ERROR,execution_safety,train
train-00006-of-00009.parquet,459900,136/A,WRONG_ANSWER,semantic_debug,train
train-00001-of-00009.parquet,128747,427/A,OK,accepted,train
train-00003-of-00009.parquet,211216,330/A,RUNTIME_ERROR,execution_safety,train
train-00003-of-00009.parquet,267978,509/A,WRONG_ANSWER,semantic_debug,train
train-00004-of-00009.parquet,300806,994/A,RUNTIME_ERROR,execution_safety,test
train-00003-of-00009.parquet,243132,118/A,WRONG_ANSWER,semantic_debug,train
train-00006-of-00009.parquet,429563,1006/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00003-of-00009.parquet,273153,0/none,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00000-of-00009.parquet,30115,837/A,WRONG_ANSWER,semantic_debug,train
train-00007-of-00009.parquet,493397,391/F2,MEMORY_LIMIT_EXCEEDED,execution_safety,test
test-00000-of-00001.parquet,635955,845/A,WRONG_ANSWER,semantic_debug,test
train-00002-of-00009.parquet,203394,961/B,RUNTIME_ERROR,execution_safety,train
train-00004-of-00009.parquet,289378,63/B,OK,accepted,test
train-00001-of-00009.parquet,91587,701/A,OK,accepted,train
train-00002-of-00009.parquet,200338,810/A,TIME_LIMIT_EXCEEDED,efficiency_review,test
train-00007-of-00009.parquet,511522,264/A,TIME_LIMIT_EXCEEDED,efficiency_review,train
train-00001-of-00009.parquet,121737,27/A,RUNTIME_ERROR,execution_safety,train
train-00002-of-00009.parquet,203112,389/A,COMPILATION_ERROR,syntax_repair,train
train-00003-of-00009.parquet,258118,266/A,OK,accepted,train
