event_index,student_id,task_id,scenario,action,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region
154,9,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,71,78,statement ending
155,9,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,68,75,statement ending
156,9,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,276,283,for loop condition
157,9,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,282,288,for loop condition
158,9,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,280,287,for loop condition
159,9,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,284,293,while condition
160,9,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,274,282,while condition
161,9,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,279,287,unfinished implementation
162,9,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,70,77,"line 1, column 66"
163,9,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,281,288,unfinished implementation
164,9,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,275,284,logic block
165,9,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,279,291,logic block
166,9,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,276,282,logic block
167,9,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,74,82,statement ending
168,9,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,277,285,for loop condition
169,9,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,279,285,unfinished implementation
170,9,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,281,287,while condition
171,9,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,275,282,logic block
172,10,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,68,78,statement ending
173,10,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,70,76,statement ending
174,10,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,70,76,statement ending
175,10,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,278,284,for loop condition
176,10,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,282,290,for loop condition
177,10,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,280,287,for loop condition
178,10,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,280,286,while condition
179,10,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,309,323,while condition
180,10,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,299,309,unfinished implementation
181,10,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,66,72,"line 1, column 66"
182,10,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,284,289,unfinished implementation
183,10,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,283,289,logic block
184,10,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,277,284,logic block
185,10,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,276,284,logic block
186,10,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,69,76,statement ending
187,10,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,273,279,for loop condition
188,10,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,278,285,unfinished implementation
189,10,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,271,278,while condition
190,10,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,273,283,logic block
191,11,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,69,79,statement ending
192,11,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,69,78,statement ending
193,11,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,69,77,statement ending
194,11,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,287,297,for loop condition
195,11,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,279,286,for loop condition
196,11,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,276,283,for loop condition
197,11,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,277,282,while condition
198,11,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,278,286,while condition
199,11,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,277,283,unfinished implementation
200,11,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,70,76,"line 1, column 66"
201,11,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,277,284,unfinished implementation
202,11,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,273,282,logic block
203,11,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,287,294,logic block
204,11,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,278,285,logic block
205,11,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,70,77,statement ending
206,11,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,273,278,for loop condition
207,11,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,273,279,unfinished implementation
208,11,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,275,283,while condition
209,11,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,271,278,logic block
210,12,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,68,73,statement ending
211,12,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,67,72,statement ending
212,12,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,70,76,statement ending
213,12,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,275,283,for loop condition
214,12,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,273,281,for loop condition
215,12,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,272,277,for loop condition
216,12,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,274,278,while condition
217,12,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,274,281,while condition
218,12,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,278,283,unfinished implementation
219,12,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,67,74,"line 1, column 66"
220,12,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,274,283,unfinished implementation
221,12,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,275,285,logic block
222,12,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,275,283,logic block
223,12,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,279,286,logic block
224,12,101,syntax_after_progress,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,69,77,statement ending
225,12,102,off_by_one_after_progress,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,277,283,for loop condition
226,12,104,unfinished_todo_after_progress,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,272,278,unfinished implementation
227,12,103,wrong_condition_after_progress,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,276,282,while condition
228,12,105,complete_return_final,CONCEPTUAL_HINT,UNKNOWN,true,3,0,281,286,logic block
229,13,101,syntax_missing_semicolon_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,68,73,statement ending
230,13,101,syntax_missing_semicolon_b,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,68,73,statement ending
231,13,101,syntax_missing_semicolon_c,CONCEPTUAL_HINT,SYNTAX_ERROR,false,0,0,69,75,statement ending
232,13,102,off_by_one_first,CODE_HIGHLIGHT,OFF_BY_ONE,true,1,2,271,277,for loop condition
233,13,102,off_by_one_repeat_a,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,276,282,for loop condition
234,13,102,off_by_one_repeat_b,CONCEPTUAL_HINT,OFF_BY_ONE,true,1,2,326,334,for loop condition
235,13,103,wrong_condition_first,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,296,305,while condition
236,13,103,wrong_condition_repeat,CONCEPTUAL_HINT,WRONG_CONDITION,true,1,2,296,302,while condition
237,13,104,unfinished_todo_first,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,302,308,unfinished implementation
238,13,104,unfinished_todo_repeat_a,CODE_HIGHLIGHT,SYNTAX_ERROR,false,0,0,75,82,"line 1, column 66"
239,13,104,unfinished_todo_repeat_b,GUIDING_QUESTION,STUCK_NO_PROGRESS,true,0,3,295,304,unfinished implementation
240,13,105,complete_return_first,NO_FEEDBACK,UNKNOWN,true,3,0,274,281,logic block
241,13,106,unknown_partial_logic,CONCEPTUAL_HINT,UNKNOWN,true,1,2,275,283,logic block
242,13,105,complete_return_second,NO_FEEDBACK,UNKNOWN,true,3,0,282,291,logic block
