event_index,mode,problem_slug,difficulty,stage,expected_action,system_action,agreement,wall_latency_ms
63,RULE,roman-to-integer,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,68
64,RULE,roman-to-integer,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,59
65,RULE,roman-to-integer,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,58
66,RULE,roman-to-integer,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,54
67,RULE,climbing-stairs,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
68,RULE,climbing-stairs,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,44
69,RULE,climbing-stairs,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,31
70,RULE,climbing-stairs,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,52
71,RULE,climbing-stairs,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,29
72,RULE,climbing-stairs,easy,local_completion,NO_FEEDBACK,CODE_HIGHLIGHT,false,47
73,RULE,palindrome,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,42
74,RULE,palindrome,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,44
75,RULE,palindrome,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,51
76,RULE,palindrome,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
77,RULE,palindrome,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
78,RULE,palindrome,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,57
79,RULE,two-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,49
80,RULE,two-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,29
81,RULE,two-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,53
82,RULE,two-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,39
83,RULE,two-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
84,RULE,two-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,51
85,RULE,valid-parentheses,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,43
86,RULE,valid-parentheses,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,47
87,RULE,valid-parentheses,easy,first_conceptual_error,CODE_HIGHLIGHT,NO_FEEDBACK,false,40
88,RULE,valid-parentheses,easy,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,30
89,RULE,valid-parentheses,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
90,RULE,valid-parentheses,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,49
91,RULE,binary-search,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,40
92,RULE,binary-search,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,50
93,RULE,binary-search,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
94,RULE,binary-search,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
95,RULE,binary-search,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
96,RULE,binary-search,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,47
97,RULE,merge-sorted-array,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
98,RULE,merge-sorted-array,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,47
99,RULE,merge-sorted-array,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,42
100,RULE,merge-sorted-array,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,57
101,RULE,merge-sorted-array,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,51
102,RULE,merge-sorted-array,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,46
103,RULE,trapping-rain-water,hard,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,49
104,RULE,trapping-rain-water,hard,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,47
105,RULE,trapping-rain-water,hard,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,26
106,RULE,trapping-rain-water,hard,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,51
107,RULE,trapping-rain-water,hard,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
108,RULE,trapping-rain-water,hard,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,45
109,RULE,lru-cache,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,50
110,RULE,lru-cache,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,43
111,RULE,lru-cache,medium,first_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,46
112,RULE,lru-cache,medium,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,49
113,RULE,lru-cache,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
114,RULE,lru-cache,medium,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,47
115,RULE,longest-substring,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
116,RULE,longest-substring,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
117,RULE,longest-substring,medium,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
118,RULE,longest-substring,medium,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
119,RULE,longest-substring,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
120,RULE,longest-substring,medium,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,49
121,RULE,reverse-linked-list,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
122,RULE,reverse-linked-list,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,72
123,RULE,reverse-linked-list,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,57
124,RULE,reverse-linked-list,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,37
125,RULE,reverse-linked-list,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
126,RULE,reverse-linked-list,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,34
127,RULE,matrix-diagonal-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,42
128,RULE,matrix-diagonal-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,53
129,RULE,matrix-diagonal-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,40
130,RULE,matrix-diagonal-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
131,RULE,matrix-diagonal-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
132,RULE,matrix-diagonal-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,44
133,RULE,roman-to-integer,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
134,RULE,roman-to-integer,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
135,RULE,roman-to-integer,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
136,RULE,roman-to-integer,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
137,RULE,roman-to-integer,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
138,RULE,roman-to-integer,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,43
139,RULE,climbing-stairs,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
140,RULE,climbing-stairs,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
141,RULE,climbing-stairs,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
142,RULE,climbing-stairs,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
143,RULE,climbing-stairs,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
144,RULE,climbing-stairs,easy,local_completion,NO_FEEDBACK,CODE_HIGHLIGHT,false,54
145,RULE,palindrome,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,41
146,RULE,palindrome,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,43
147,RULE,palindrome,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
148,RULE,palindrome,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,30
149,RULE,palindrome,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
150,RULE,palindrome,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,46
151,RULE,two-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
152,RULE,two-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,44
153,RULE,two-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
154,RULE,two-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
155,RULE,two-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
156,RULE,two-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,47
157,RULE,valid-parentheses,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,42
158,RULE,valid-parentheses,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
159,RULE,valid-parentheses,easy,first_conceptual_error,CODE_HIGHLIGHT,NO_FEEDBACK,false,50
160,RULE,valid-parentheses,easy,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,44
161,RULE,valid-parentheses,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,27
162,RULE,valid-parentheses,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,48
163,RULE,binary-search,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
164,RULE,binary-search,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,47
165,RULE,binary-search,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
166,RULE,binary-search,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,59
167,RULE,binary-search,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
168,RULE,binary-search,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,45
169,RULE,merge-sorted-array,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
170,RULE,merge-sorted-array,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
171,RULE,merge-sorted-array,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
172,RULE,merge-sorted-array,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,53
173,RULE,merge-sorted-array,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,52
174,RULE,merge-sorted-array,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,46
175,RULE,trapping-rain-water,hard,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
176,RULE,trapping-rain-water,hard,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,44
177,RULE,trapping-rain-water,hard,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
178,RULE,trapping-rain-water,hard,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
179,RULE,trapping-rain-water,hard,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
180,RULE,trapping-rain-water,hard,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,48
181,RULE,lru-cache,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,43
182,RULE,lru-cache,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,47
183,RULE,lru-cache,medium,first_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,48
184,RULE,lru-cache,medium,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,48
185,RULE,lru-cache,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
186,RULE,lru-cache,medium,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,51
187,RULE,longest-substring,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,43
188,RULE,longest-substring,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,66
189,RULE,longest-substring,medium,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,52
190,RULE,longest-substring,medium,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,39
191,RULE,longest-substring,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,51
192,RULE,longest-substring,medium,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,42
193,RULE,reverse-linked-list,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
194,RULE,reverse-linked-list,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,24
195,RULE,reverse-linked-list,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,26
196,RULE,reverse-linked-list,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
197,RULE,reverse-linked-list,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
198,RULE,reverse-linked-list,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,45
199,RULE,matrix-diagonal-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
200,RULE,matrix-diagonal-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,48
201,RULE,matrix-diagonal-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
202,RULE,matrix-diagonal-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
203,RULE,matrix-diagonal-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
204,RULE,matrix-diagonal-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,44
205,RULE,roman-to-integer,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
206,RULE,roman-to-integer,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,48
207,RULE,roman-to-integer,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
208,RULE,roman-to-integer,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
209,RULE,roman-to-integer,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
210,RULE,roman-to-integer,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,45
211,RULE,climbing-stairs,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,58
212,RULE,climbing-stairs,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,39
213,RULE,climbing-stairs,easy,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,64
214,RULE,climbing-stairs,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,33
215,RULE,climbing-stairs,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,39
216,RULE,climbing-stairs,easy,local_completion,NO_FEEDBACK,CODE_HIGHLIGHT,false,46
217,RULE,palindrome,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,27
218,RULE,palindrome,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
219,RULE,palindrome,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,34
220,RULE,palindrome,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,52
221,RULE,palindrome,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,30
222,RULE,palindrome,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,38
223,RULE,two-sum,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
224,RULE,two-sum,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,48
225,RULE,two-sum,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
226,RULE,two-sum,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,26
227,RULE,two-sum,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
228,RULE,two-sum,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,48
229,RULE,valid-parentheses,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,42
230,RULE,valid-parentheses,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,48
231,RULE,valid-parentheses,easy,first_conceptual_error,CODE_HIGHLIGHT,NO_FEEDBACK,false,47
232,RULE,valid-parentheses,easy,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,51
233,RULE,valid-parentheses,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,53
234,RULE,valid-parentheses,easy,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,51
235,RULE,binary-search,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
236,RULE,binary-search,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
237,RULE,binary-search,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
238,RULE,binary-search,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
239,RULE,binary-search,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
240,RULE,binary-search,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,48
241,RULE,merge-sorted-array,easy,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
242,RULE,merge-sorted-array,easy,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,50
243,RULE,merge-sorted-array,easy,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,44
244,RULE,merge-sorted-array,easy,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
245,RULE,merge-sorted-array,easy,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
246,RULE,merge-sorted-array,easy,local_completion,NO_FEEDBACK,NO_FEEDBACK,true,43
247,RULE,trapping-rain-water,hard,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
248,RULE,trapping-rain-water,hard,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,49
249,RULE,trapping-rain-water,hard,first_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
250,RULE,trapping-rain-water,hard,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
251,RULE,trapping-rain-water,hard,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,24
252,RULE,trapping-rain-water,hard,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,37
253,RULE,lru-cache,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,43
254,RULE,lru-cache,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,26
255,RULE,lru-cache,medium,first_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,60
256,RULE,lru-cache,medium,repeated_conceptual_error,CONCEPTUAL_HINT,NO_FEEDBACK,false,36
257,RULE,lru-cache,medium,partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,57
258,RULE,lru-cache,medium,local_completion,NO_FEEDBACK,CONCEPTUAL_HINT,false,25
259,RULE,longest-substring,medium,syntax,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
260,RULE,longest-substring,medium,planning,GUIDING_QUESTION,GUIDING_QUESTION,true,46
261,RULE,longest-substring,medium,first_conceptual_error,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,47
262,RULE,longest-substring,medium,repeated_conceptual_error,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
