event_index,mode,phase,student_id,task_id,attempt_no,scenario,status,action,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,error
14,NO_POLICY,replay,240001,105,14,complete_return_second,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,8,60,logic block,
15,NO_POLICY,replay,240001,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,53,statement ending,
16,NO_POLICY,replay,240001,102,16,off_by_one_after_progress,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,10,51,for loop condition,
17,NO_POLICY,replay,240001,104,17,unfinished_todo_after_progress,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,9,64,unfinished implementation,
18,NO_POLICY,replay,240001,103,18,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,5,63,while condition,
19,NO_POLICY,replay,240001,105,19,complete_return_final,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,9,38,logic block,
20,NO_POLICY,replay,240002,101,1,syntax_missing_semicolon_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,36,statement ending,
21,NO_POLICY,replay,240002,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,30,statement ending,
22,NO_POLICY,replay,240002,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,43,statement ending,
23,NO_POLICY,replay,240002,102,4,off_by_one_first,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,10,37,for loop condition,
24,NO_POLICY,replay,240002,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,11,35,for loop condition,
25,NO_POLICY,replay,240002,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,8,33,for loop condition,
26,NO_POLICY,replay,240002,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,10,36,while condition,
27,NO_POLICY,replay,240002,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,9,47,while condition,
28,NO_POLICY,replay,240002,104,9,unfinished_todo_first,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,8,52,unfinished implementation,
29,NO_POLICY,replay,240002,104,10,unfinished_todo_repeat_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,53,"line 1, column 66",
30,NO_POLICY,replay,240002,104,11,unfinished_todo_repeat_b,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,9,35,unfinished implementation,
31,NO_POLICY,replay,240002,105,12,complete_return_first,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,8,36,logic block,
32,NO_POLICY,replay,240002,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,8,63,logic block,
33,NO_POLICY,replay,240002,105,14,complete_return_second,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,11,37,logic block,
34,NO_POLICY,replay,240002,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,47,statement ending,
35,NO_POLICY,replay,240002,102,16,off_by_one_after_progress,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,10,51,for loop condition,
36,NO_POLICY,replay,240002,104,17,unfinished_todo_after_progress,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,8,32,unfinished implementation,
37,NO_POLICY,replay,240002,103,18,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,9,46,while condition,
38,NO_POLICY,replay,240002,105,19,complete_return_final,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,10,44,logic block,
39,NO_POLICY,replay,240003,101,1,syntax_missing_semicolon_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,44,statement ending,
40,NO_POLICY,replay,240003,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,44,statement ending,
41,NO_POLICY,replay,240003,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,47,statement ending,
42,NO_POLICY,replay,240003,102,4,off_by_one_first,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,3,58,for loop condition,
43,NO_POLICY,replay,240003,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,8,33,for loop condition,
44,NO_POLICY,replay,240003,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,10,53,for loop condition,
45,NO_POLICY,replay,240003,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,8,50,while condition,
46,NO_POLICY,replay,240003,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,4,32,while condition,
47,NO_POLICY,replay,240003,104,9,unfinished_todo_first,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,7,45,unfinished implementation,
48,NO_POLICY,replay,240003,104,10,unfinished_todo_repeat_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,41,"line 1, column 66",
49,NO_POLICY,replay,240003,104,11,unfinished_todo_repeat_b,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,10,50,unfinished implementation,
50,NO_POLICY,replay,240003,105,12,complete_return_first,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,8,35,logic block,
51,NO_POLICY,replay,240003,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,8,46,logic block,
52,NO_POLICY,replay,240003,105,14,complete_return_second,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,9,48,logic block,
53,NO_POLICY,replay,240003,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,27,statement ending,
54,NO_POLICY,replay,240003,102,16,off_by_one_after_progress,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,11,63,for loop condition,
55,NO_POLICY,replay,240003,104,17,unfinished_todo_after_progress,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,10,38,unfinished implementation,
56,NO_POLICY,replay,240003,103,18,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,9,54,while condition,
57,NO_POLICY,replay,240003,105,19,complete_return_final,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,8,32,logic block,
58,NO_POLICY,replay,240004,101,1,syntax_missing_semicolon_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,6,44,statement ending,
59,NO_POLICY,replay,240004,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,25,statement ending,
60,NO_POLICY,replay,240004,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,48,statement ending,
61,NO_POLICY,replay,240004,102,4,off_by_one_first,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,8,54,for loop condition,
62,NO_POLICY,replay,240004,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,9,44,for loop condition,
63,NO_POLICY,replay,240004,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,7,31,for loop condition,
64,NO_POLICY,replay,240004,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,5,52,while condition,
65,NO_POLICY,replay,240004,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,7,57,while condition,
66,NO_POLICY,replay,240004,104,9,unfinished_todo_first,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,9,35,unfinished implementation,
67,NO_POLICY,replay,240004,104,10,unfinished_todo_repeat_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,27,"line 1, column 66",
68,NO_POLICY,replay,240004,104,11,unfinished_todo_repeat_b,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,8,29,unfinished implementation,
69,NO_POLICY,replay,240004,105,12,complete_return_first,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,9,49,logic block,
70,NO_POLICY,replay,240004,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,2,48,logic block,
71,NO_POLICY,replay,240004,105,14,complete_return_second,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,10,32,logic block,
72,NO_POLICY,replay,240004,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,41,statement ending,
73,NO_POLICY,replay,240004,102,16,off_by_one_after_progress,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,8,29,for loop condition,
74,NO_POLICY,replay,240004,104,17,unfinished_todo_after_progress,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,9,51,unfinished implementation,
75,NO_POLICY,replay,240004,103,18,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,8,36,while condition,
76,NO_POLICY,replay,240004,105,19,complete_return_final,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,8,58,logic block,
77,NO_POLICY,replay,240005,101,1,syntax_missing_semicolon_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,3,50,statement ending,
78,NO_POLICY,replay,240005,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,5,37,statement ending,
79,NO_POLICY,replay,240005,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,57,statement ending,
80,NO_POLICY,replay,240005,102,4,off_by_one_first,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,8,49,for loop condition,
81,NO_POLICY,replay,240005,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,10,38,for loop condition,
82,NO_POLICY,replay,240005,102,6,off_by_one_repeat_b,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,9,34,for loop condition,
83,NO_POLICY,replay,240005,103,7,wrong_condition_first,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,8,41,while condition,
84,NO_POLICY,replay,240005,103,8,wrong_condition_repeat,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,9,38,while condition,
85,NO_POLICY,replay,240005,104,9,unfinished_todo_first,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,4,64,unfinished implementation,
86,NO_POLICY,replay,240005,104,10,unfinished_todo_repeat_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,53,"line 1, column 66",
87,NO_POLICY,replay,240005,104,11,unfinished_todo_repeat_b,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,9,49,unfinished implementation,
88,NO_POLICY,replay,240005,105,12,complete_return_first,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,8,52,logic block,
89,NO_POLICY,replay,240005,106,13,unknown_partial_logic,200,CONCEPTUAL_HINT,UNKNOWN,True,1,2,6,59,logic block,
90,NO_POLICY,replay,240005,105,14,complete_return_second,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,9,31,logic block,
91,NO_POLICY,replay,240005,101,15,syntax_after_progress,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,1,28,statement ending,
92,NO_POLICY,replay,240005,102,16,off_by_one_after_progress,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,8,43,for loop condition,
93,NO_POLICY,replay,240005,104,17,unfinished_todo_after_progress,200,CONCEPTUAL_HINT,STUCK_NO_PROGRESS,True,0,3,8,47,unfinished implementation,
94,NO_POLICY,replay,240005,103,18,wrong_condition_after_progress,200,CONCEPTUAL_HINT,WRONG_CONDITION,True,1,2,7,47,while condition,
95,NO_POLICY,replay,240005,105,19,complete_return_final,200,CONCEPTUAL_HINT,UNKNOWN,True,3,0,11,54,logic block,
96,NO_POLICY,replay,240006,101,1,syntax_missing_semicolon_a,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,26,statement ending,
97,NO_POLICY,replay,240006,101,2,syntax_missing_semicolon_b,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,25,statement ending,
98,NO_POLICY,replay,240006,101,3,syntax_missing_semicolon_c,200,CONCEPTUAL_HINT,SYNTAX_ERROR,False,0,0,4,46,statement ending,
99,NO_POLICY,replay,240006,102,4,off_by_one_first,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,6,54,for loop condition,
100,NO_POLICY,replay,240006,102,5,off_by_one_repeat_a,200,CONCEPTUAL_HINT,OFF_BY_ONE,True,1,2,8,44,for loop condition,
