event_index,mode,scenario,expert_action,system_action,agreement,wall_latency_ms
42,RULE,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,40
43,RULE,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
44,RULE,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,21
45,RULE,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
46,RULE,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,40
47,RULE,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,50
48,RULE,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,19
49,RULE,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,41
50,RULE,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,52
51,RULE,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
52,RULE,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,24
53,RULE,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,18
54,RULE,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,22
55,RULE,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,42
56,RULE,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,51
57,RULE,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,33
58,RULE,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,48
59,RULE,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,28
60,RULE,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,25
61,RULE,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,29
62,RULE,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,27
63,RULE,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,28
64,RULE,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,29
65,RULE,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
66,RULE,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,47
67,RULE,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,21
68,RULE,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,36
69,RULE,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,51
70,RULE,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
71,RULE,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,47
72,RULE,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,19
73,RULE,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,24
74,RULE,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,44
75,RULE,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,22
76,RULE,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,40
77,RULE,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,20
78,RULE,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,18
79,RULE,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,18
80,RULE,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,23
81,RULE,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,23
82,RULE,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,36
83,RULE,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
84,RULE,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,21
85,RULE,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,27
86,RULE,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,18
87,RULE,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,40
88,RULE,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,24
89,RULE,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,39
90,RULE,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,24
91,RULE,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,32
92,RULE,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,21
93,RULE,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,21
94,RULE,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
95,RULE,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,22
96,RULE,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,21
97,RULE,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
98,RULE,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,29
99,RULE,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,38
100,RULE,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,21
1,ML,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,344
2,ML,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
3,ML,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
4,ML,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,121
5,ML,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
6,ML,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,76
7,ML,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,51
8,ML,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,71
9,ML,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,87
10,ML,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,35
11,ML,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,58
12,ML,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,46
13,ML,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,62
14,ML,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,48
15,ML,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,72
16,ML,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,55
17,ML,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,39
18,ML,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,40
19,ML,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,42
20,ML,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,62
21,ML,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,57
22,ML,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
23,ML,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,38
24,ML,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,63
25,ML,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,61
26,ML,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,66
27,ML,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,60
28,ML,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,39
29,ML,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,30
30,ML,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,36
31,ML,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,39
32,ML,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,58
33,ML,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,58
34,ML,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,42
35,ML,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,56
36,ML,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,60
37,ML,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,61
38,ML,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,62
39,ML,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,60
40,ML,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,42
41,ML,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,31
42,ML,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,52
43,ML,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,64
44,ML,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,59
45,ML,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
46,ML,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,62
47,ML,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,38
48,ML,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,32
49,ML,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,53
50,ML,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,46
51,ML,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,52
52,ML,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,56
53,ML,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,29
54,ML,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,49
55,ML,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,51
56,ML,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,67
57,ML,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,56
58,ML,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,57
59,ML,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
60,ML,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,34
61,ML,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,78
62,ML,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,51
63,ML,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,65
64,ML,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,67
65,ML,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,59
66,ML,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,53
67,ML,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,30
68,ML,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,56
69,ML,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,64
70,ML,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,64
71,ML,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,59
72,ML,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,40
73,ML,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,51
74,ML,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,88
75,ML,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
76,ML,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,47
77,ML,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,45
78,ML,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,53
79,ML,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,53
80,ML,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,38
81,ML,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,32
82,ML,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,32
83,ML,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,36
84,ML,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,34
85,ML,unfinished_todo_first,GUIDING_QUESTION,GUIDING_QUESTION,true,34
86,ML,unfinished_todo_repeat_a,GUIDING_QUESTION,CODE_HIGHLIGHT,false,29
87,ML,unfinished_todo_repeat_b,GUIDING_QUESTION,GUIDING_QUESTION,true,46
88,ML,complete_return_first,NO_FEEDBACK,NO_FEEDBACK,true,49
89,ML,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,32
90,ML,complete_return_second,NO_FEEDBACK,NO_FEEDBACK,true,42
91,ML,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,27
92,ML,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,37
93,ML,unfinished_todo_after_progress,GUIDING_QUESTION,GUIDING_QUESTION,true,45
94,ML,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,31
95,ML,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,57
96,ML,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,46
97,ML,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,41
98,ML,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
99,ML,off_by_one_first,CODE_HIGHLIGHT,CODE_HIGHLIGHT,true,53
100,ML,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
1,NO_POLICY,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,294
2,NO_POLICY,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,45
3,NO_POLICY,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,40
4,NO_POLICY,off_by_one_first,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,114
5,NO_POLICY,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,64
6,NO_POLICY,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
7,NO_POLICY,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
8,NO_POLICY,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,70
9,NO_POLICY,unfinished_todo_first,GUIDING_QUESTION,CONCEPTUAL_HINT,false,67
10,NO_POLICY,unfinished_todo_repeat_a,GUIDING_QUESTION,CONCEPTUAL_HINT,false,54
11,NO_POLICY,unfinished_todo_repeat_b,GUIDING_QUESTION,CONCEPTUAL_HINT,false,43
12,NO_POLICY,complete_return_first,NO_FEEDBACK,CONCEPTUAL_HINT,false,44
13,NO_POLICY,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,49
14,NO_POLICY,complete_return_second,NO_FEEDBACK,CONCEPTUAL_HINT,false,60
15,NO_POLICY,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,53
16,NO_POLICY,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,51
17,NO_POLICY,unfinished_todo_after_progress,GUIDING_QUESTION,CONCEPTUAL_HINT,false,64
18,NO_POLICY,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,63
19,NO_POLICY,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,38
20,NO_POLICY,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,36
21,NO_POLICY,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,30
22,NO_POLICY,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,43
23,NO_POLICY,off_by_one_first,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,37
24,NO_POLICY,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,35
25,NO_POLICY,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,33
26,NO_POLICY,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,36
27,NO_POLICY,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
28,NO_POLICY,unfinished_todo_first,GUIDING_QUESTION,CONCEPTUAL_HINT,false,52
29,NO_POLICY,unfinished_todo_repeat_a,GUIDING_QUESTION,CONCEPTUAL_HINT,false,53
30,NO_POLICY,unfinished_todo_repeat_b,GUIDING_QUESTION,CONCEPTUAL_HINT,false,35
31,NO_POLICY,complete_return_first,NO_FEEDBACK,CONCEPTUAL_HINT,false,36
32,NO_POLICY,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,63
33,NO_POLICY,complete_return_second,NO_FEEDBACK,CONCEPTUAL_HINT,false,37
34,NO_POLICY,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,47
35,NO_POLICY,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,51
36,NO_POLICY,unfinished_todo_after_progress,GUIDING_QUESTION,CONCEPTUAL_HINT,false,32
37,NO_POLICY,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
38,NO_POLICY,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,44
39,NO_POLICY,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,44
40,NO_POLICY,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
41,NO_POLICY,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,47
42,NO_POLICY,off_by_one_first,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,58
43,NO_POLICY,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,33
44,NO_POLICY,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,53
45,NO_POLICY,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,50
46,NO_POLICY,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,32
47,NO_POLICY,unfinished_todo_first,GUIDING_QUESTION,CONCEPTUAL_HINT,false,45
48,NO_POLICY,unfinished_todo_repeat_a,GUIDING_QUESTION,CONCEPTUAL_HINT,false,41
49,NO_POLICY,unfinished_todo_repeat_b,GUIDING_QUESTION,CONCEPTUAL_HINT,false,50
50,NO_POLICY,complete_return_first,NO_FEEDBACK,CONCEPTUAL_HINT,false,35
51,NO_POLICY,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,46
52,NO_POLICY,complete_return_second,NO_FEEDBACK,CONCEPTUAL_HINT,false,48
53,NO_POLICY,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,27
54,NO_POLICY,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,63
55,NO_POLICY,unfinished_todo_after_progress,GUIDING_QUESTION,CONCEPTUAL_HINT,false,38
56,NO_POLICY,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,54
57,NO_POLICY,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,32
58,NO_POLICY,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,44
59,NO_POLICY,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,25
60,NO_POLICY,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
61,NO_POLICY,off_by_one_first,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,54
62,NO_POLICY,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,44
63,NO_POLICY,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,31
64,NO_POLICY,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,52
65,NO_POLICY,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,57
66,NO_POLICY,unfinished_todo_first,GUIDING_QUESTION,CONCEPTUAL_HINT,false,35
67,NO_POLICY,unfinished_todo_repeat_a,GUIDING_QUESTION,CONCEPTUAL_HINT,false,27
68,NO_POLICY,unfinished_todo_repeat_b,GUIDING_QUESTION,CONCEPTUAL_HINT,false,29
69,NO_POLICY,complete_return_first,NO_FEEDBACK,CONCEPTUAL_HINT,false,49
70,NO_POLICY,unknown_partial_logic,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,48
71,NO_POLICY,complete_return_second,NO_FEEDBACK,CONCEPTUAL_HINT,false,32
72,NO_POLICY,syntax_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,41
73,NO_POLICY,off_by_one_after_progress,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,29
74,NO_POLICY,unfinished_todo_after_progress,GUIDING_QUESTION,CONCEPTUAL_HINT,false,51
75,NO_POLICY,wrong_condition_after_progress,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,36
76,NO_POLICY,complete_return_final,NO_FEEDBACK,CONCEPTUAL_HINT,false,58
77,NO_POLICY,syntax_missing_semicolon_a,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,50
78,NO_POLICY,syntax_missing_semicolon_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,37
79,NO_POLICY,syntax_missing_semicolon_c,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,57
80,NO_POLICY,off_by_one_first,CODE_HIGHLIGHT,CONCEPTUAL_HINT,false,49
81,NO_POLICY,off_by_one_repeat_a,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,38
82,NO_POLICY,off_by_one_repeat_b,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,34
83,NO_POLICY,wrong_condition_first,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,41
84,NO_POLICY,wrong_condition_repeat,CONCEPTUAL_HINT,CONCEPTUAL_HINT,true,38
85,NO_POLICY,unfinished_todo_first,GUIDING_QUESTION,CONCEPTUAL_HINT,false,64
86,NO_POLICY,unfinished_todo_repeat_a,GUIDING_QUESTION,CONCEPTUAL_HINT,false,53
