event_index,mode,cohort,student_id,problem_id,problem_slug,problem_title,difficulty,concept,attempt_no,stage,scenario,expected_action,expected_reason,status,action,agreement,feedback_source,feedback_text,error_type,compile_success,tests_passed,tests_failed,analysis_time_ms,wall_latency_ms,suspicious_region,code_lines,error
11,ML,1,911002,302,two-sum,Two Sum,easy,hash map lookup and pair search,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,"You're on the right track with incrementing the `checkpoint`, but consider how the value is being used *before* you increment it within your logic block. Think about the order of operations and how that affects the outcome.",UNKNOWN,True,1,2,1,1555,logic block,1,
12,ML,1,911002,302,two-sum,Two Sum,easy,hash map lookup and pair search,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,gemini,Your approach to finding the indices looks solid! You've correctly identified a way to leverage the `containsKey` method to check for the complement.,UNKNOWN,True,3,0,0,1626,logic block,1,
13,ML,1,911003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,Great start! Take a closer look at how you're ending your statements in C++. There's a small punctuation mark that needs to be added.,SYNTAX_ERROR,False,0,0,0,1796,statement ending,1,
14,ML,1,911003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,It looks like you're on the right track with setting up your variables! Can you think about how you might use the `progress` variable to start building the core logic of your algorithm?,STUCK_NO_PROGRESS,True,0,3,1,2061,unfinished implementation,2,
15,ML,1,911003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,3,first_conceptual_error,possible_null_access_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,gemini,"Great job on passing most of the tests! For the remaining ones, carefully consider how your code handles edge cases and what the state of the stack should be at each step of the logic.",UNKNOWN,True,3,0,0,892,logic block,1,
16,ML,1,911003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,4,repeated_conceptual_error,possible_null_access_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,template,Compare this part of your logic with the task requirement.,UNKNOWN,True,3,0,0,4154,logic block,1,
17,ML,1,911003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,Great start on the `checkpoint` variable! Think about how you're modifying its value *after* you've already used it in the previous step.,UNKNOWN,True,1,2,0,5634,logic block,1,
18,ML,1,911003,303,valid-parentheses,Valid Parentheses,easy,stack state and matching brackets,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,CONCEPTUAL_HINT,false,gemini,Great start! It looks like you're on the right track with using a stack to process the characters. Consider what should happen if you encounter a character that doesn't have a matching pair on the stack.,UNKNOWN,True,3,0,0,892,logic block,1,
19,ML,1,911004,304,binary-search,Binary Search,easy,search interval invariant,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there might be a small syntax error near the end of your statement; double-check how you're concluding your lines of code. Keep up the great work as you continue to debug!,SYNTAX_ERROR,False,0,0,0,928,statement ending,1,
20,ML,1,911004,304,binary-search,Binary Search,easy,search interval invariant,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,It looks like you're just getting started on this task! What part of the core algorithm are you finding most challenging to implement right now?,STUCK_NO_PROGRESS,True,0,3,0,2242,unfinished implementation,2,
21,ML,1,911004,304,binary-search,Binary Search,easy,search interval invariant,3,first_conceptual_error,wrong_loop_boundary_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,gemini,You're on the right track with your binary search implementation! Take another look at the condition that determines when the loop should stop and how you adjust your `left` and `right` pointers.,WRONG_LOOP_BOUNDARY,True,1,2,0,866,binary search loop boundary,1,
22,ML,1,911004,304,binary-search,Binary Search,easy,search interval invariant,4,repeated_conceptual_error,wrong_loop_boundary_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,"It looks like your loop condition is very close, but consider what happens when `low` and `high` become equal. Think about how that final comparison should be handled.",WRONG_LOOP_BOUNDARY,True,1,2,0,3772,binary search loop boundary,1,
23,ML,1,911004,304,binary-search,Binary Search,easy,search interval invariant,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,Great job getting the first test case to pass! Take another look at the logic in your `checkpoint` block; there might be a way to handle the remaining conditions more effectively.,UNKNOWN,True,1,2,0,1398,logic block,1,
24,ML,1,911004,304,binary-search,Binary Search,easy,search interval invariant,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,gemini,Great job on getting all the tests to pass! It looks like your code is working correctly for the given test cases.,UNKNOWN,True,3,0,0,690,logic block,1,
25,ML,1,911005,305,merge-sorted-array,Merge Sorted Array,easy,array index management,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there might be a small syntax issue with how your statement is ending. Double-check that you're using the correct punctuation to mark the end of this line.,SYNTAX_ERROR,False,0,0,0,774,statement ending,1,
26,ML,1,911005,305,merge-sorted-array,Merge Sorted Array,easy,array index management,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,It looks like you've got a good start on setting up the problem! What core logic needs to be added to start making progress towards solving the test cases?,STUCK_NO_PROGRESS,True,0,3,1,1241,unfinished implementation,2,
27,ML,1,911005,305,merge-sorted-array,Merge Sorted Array,easy,array index management,3,first_conceptual_error,off_by_one_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,gemini,"You're very close to getting this working! Take another look at the condition in your `for` loop, as it might be including one too many elements.",OFF_BY_ONE,True,1,2,0,820,for loop condition,1,
28,ML,1,911005,305,merge-sorted-array,Merge Sorted Array,easy,array index management,4,repeated_conceptual_error,off_by_one_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,Great job on getting most of the tests to pass! Take another look at your `for` loop condition to ensure you're processing every element correctly without going out of bounds.,OFF_BY_ONE,True,1,2,0,759,for loop condition,1,
29,ML,1,911005,305,merge-sorted-array,Merge Sorted Array,easy,array index management,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,"Your code compiles and passes one test, which is great progress! Let's look closer at the logic block where the checkpoint is incremented, as there might be a slight adjustment needed to handle all the test cases.",UNKNOWN,True,1,2,0,1328,logic block,1,
30,ML,1,911005,305,merge-sorted-array,Merge Sorted Array,easy,array index management,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,gemini,Your loop condition and body correctly iterate through and modify `nums1`. Good job on passing those tests!,UNKNOWN,True,3,0,0,818,logic block,1,
31,ML,1,911006,306,trapping-rain-water,Trapping Rain Water,hard,two pointers and running maxima,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,"Your code is almost there! Take another look at the end of your `int candidate = 0` statement, there might be a small punctuation mark that's out of place.",SYNTAX_ERROR,False,0,0,0,755,statement ending,1,
32,ML,1,911006,306,trapping-rain-water,Trapping Rain Water,hard,two pointers and running maxima,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,"It looks like you're on the right track with setting up the initial variable, but the core logic for calculating the progress is still missing. What's the next step in your algorithm to determine how much progress has been made?",STUCK_NO_PROGRESS,True,0,3,0,810,unfinished implementation,2,
33,ML,1,911006,306,trapping-rain-water,Trapping Rain Water,hard,two pointers and running maxima,3,first_conceptual_error,wrong_condition_first,CONCEPTUAL_HINT,First substantial mistake should receive the least sufficient intervention.,200,CONCEPTUAL_HINT,true,gemini,Great start! Think carefully about when your `while` loop should terminate based on the relationship between your `left` and `right` pointers.,WRONG_CONDITION,True,1,2,0,709,while condition,1,
34,ML,1,911006,306,trapping-rain-water,Trapping Rain Water,hard,two pointers and running maxima,4,repeated_conceptual_error,wrong_condition_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,Great start! Think carefully about the condition that needs to be true for the loop to continue; it looks like the loop is breaking a bit too early. Keep up the good work!,WRONG_CONDITION,True,1,2,0,872,while condition,1,
35,ML,1,911006,306,trapping-rain-water,Trapping Rain Water,hard,two pointers and running maxima,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,Great start on the checkpoint logic! Take another look at how the checkpoint variable is being updated and how that relates to the overall goal of the task.,UNKNOWN,True,1,2,0,704,logic block,1,
36,ML,1,911006,306,trapping-rain-water,Trapping Rain Water,hard,two pointers and running maxima,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,gemini,Great job on passing the tests! It looks like your code is working correctly for the given scenarios.,UNKNOWN,True,3,0,0,864,logic block,1,
37,ML,1,911007,307,lru-cache,LRU Cache,medium,state update and eviction policy,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there's a small syntax error preventing your code from compiling. Double-check the end of your `int candidate = 0` statement; sometimes a missing semicolon can cause issues.,SYNTAX_ERROR,False,0,0,0,716,statement ending,1,
38,ML,1,911007,307,lru-cache,LRU Cache,medium,state update and eviction policy,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,"It looks like you're on the right track with initializing `progress`, but the core logic of the algorithm is still missing. Have you considered what needs to happen to `progress` within the loop to solve the problem?",STUCK_NO_PROGRESS,True,0,3,0,757,unfinished implementation,2,
39,ML,1,911007,307,lru-cache,LRU Cache,medium,state update and eviction policy,3,first_conceptual_error,unknown_logic_first,CONCEPTUAL_HINT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,false,gemini,Great job on passing most of the tests! Take another look at the logic within your `put` operation; there might be a small detail you've overlooked.,UNKNOWN,True,3,0,0,767,logic block,1,
40,ML,1,911007,307,lru-cache,LRU Cache,medium,state update and eviction policy,4,repeated_conceptual_error,unknown_logic_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,Great job on getting most of the tests to pass! Take another look at the logic block where you handle the cache size – there might be a small detail you're missing to ensure it behaves exactly as expected.,UNKNOWN,True,3,0,0,1069,logic block,1,
41,ML,1,911007,307,lru-cache,LRU Cache,medium,state update and eviction policy,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,"You're on the right track with how you're updating the `checkpoint` variable, but it seems like the logic isn't quite matching what the tests are expecting. Consider carefully what condition needs to be met for the `checkpoint` to be incremented.",UNKNOWN,True,1,2,0,811,logic block,1,
42,ML,1,911007,307,lru-cache,LRU Cache,medium,state update and eviction policy,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,CONCEPTUAL_HINT,false,gemini,Great job implementing the cache logic! Consider what happens if `oldestKey` is null when `cache.size()` exceeds `capacity`.,UNKNOWN,True,3,0,0,803,logic block,1,
43,ML,1,911008,308,longest-substring,Longest Substring Without Repeating Characters,medium,sliding window invariant,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there might be a small syntax issue with how the statement ends in this line. Double-check the required punctuation for the end of a statement in Java.,SYNTAX_ERROR,False,0,0,0,836,statement ending,1,
44,ML,1,911008,308,longest-substring,Longest Substring Without Repeating Characters,medium,sliding window invariant,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,It looks like you're on the right track with setting up your variables! What's the next logical step in calculating the `progress` based on the problem description?,STUCK_NO_PROGRESS,True,0,3,0,1067,unfinished implementation,2,
45,ML,1,911008,308,longest-substring,Longest Substring Without Repeating Characters,medium,sliding window invariant,3,first_conceptual_error,off_by_one_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,gemini,Great start on the loop! Take a closer look at the loop's termination condition and how it relates to the indices of the string. You're so close to cracking this!,OFF_BY_ONE,True,1,2,1,1106,for loop condition,1,
46,ML,1,911008,308,longest-substring,Longest Substring Without Repeating Characters,medium,sliding window invariant,4,repeated_conceptual_error,off_by_one_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,Great job on getting the code to compile and pass one test! Take another look at your `for` loop's condition; it might be causing you to miss or include an extra character.,OFF_BY_ONE,True,1,2,0,1057,for loop condition,1,
47,ML,1,911008,308,longest-substring,Longest Substring Without Repeating Characters,medium,sliding window invariant,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,"Great start! It looks like you're on the right track with incrementing the `checkpoint` variable, but let's think about how that increment affects the overall flow of your logic. Consider the conditions under which `checkpoint` should increase.",UNKNOWN,True,1,2,0,836,logic block,1,
48,ML,1,911008,308,longest-substring,Longest Substring Without Repeating Characters,medium,sliding window invariant,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,template,Good progress. Continue working.,UNKNOWN,True,3,0,0,715,logic block,1,
49,ML,1,911009,309,reverse-linked-list,Reverse Linked List,easy,pointer update order,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there might be a missing semicolon at the end of your `candidate` variable declaration. Make sure each statement ends with the correct punctuation!,SYNTAX_ERROR,False,0,0,0,666,statement ending,1,
50,ML,1,911009,309,reverse-linked-list,Reverse Linked List,easy,pointer update order,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,It looks like the core algorithm for calculating progress is still missing. Think about what needs to happen inside the loop to update the `progress` variable correctly.,STUCK_NO_PROGRESS,True,0,3,0,1262,unfinished implementation,2,
51,ML,1,911009,309,reverse-linked-list,Reverse Linked List,easy,pointer update order,3,first_conceptual_error,wrong_condition_first,CONCEPTUAL_HINT,First substantial mistake should receive the least sufficient intervention.,200,CONCEPTUAL_HINT,true,gemini,Great effort on tackling the linked list reversal! Take another look at your `while` loop's condition to ensure it correctly determines when to stop the reversal process.,WRONG_CONDITION,True,1,2,0,694,while condition,1,
52,ML,1,911009,309,reverse-linked-list,Reverse Linked List,easy,pointer update order,4,repeated_conceptual_error,wrong_condition_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,"It's great that you've identified the need for a loop and a way to exit it! Consider what condition would naturally signal that you've reached the end of the list, rather than using `true` and `break`.",WRONG_CONDITION,True,1,2,0,885,while condition,1,
53,ML,1,911009,309,reverse-linked-list,Reverse Linked List,easy,pointer update order,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,"You're on the right track with incrementing the `checkpoint`, but it looks like the logic for checking its value might need a closer look. Try to trace how the `checkpoint` changes throughout your program.",UNKNOWN,True,1,2,0,1247,logic block,1,
54,ML,1,911009,309,reverse-linked-list,Reverse Linked List,easy,pointer update order,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,gemini,Great job on implementing the linked list reversal! Your logic block for iterating and re-linking nodes looks solid.,UNKNOWN,True,3,0,0,759,logic block,1,
55,ML,1,911010,310,matrix-diagonal-sum,Matrix Diagonal Sum,easy,nested indexing and double counting,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there's a small syntax issue at the end of your statement. Double-check how you're ending your lines in C++!,SYNTAX_ERROR,False,0,0,0,1594,statement ending,1,
56,ML,1,911010,310,matrix-diagonal-sum,Matrix Diagonal Sum,easy,nested indexing and double counting,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,It looks like you're on the right track with setting up your variables! What do you think needs to happen next to actually perform the core logic of your algorithm?,STUCK_NO_PROGRESS,True,0,3,0,1215,unfinished implementation,2,
57,ML,1,911010,310,matrix-diagonal-sum,Matrix Diagonal Sum,easy,nested indexing and double counting,3,first_conceptual_error,off_by_one_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,template,Check the for loop condition. There may be a small issue here.,OFF_BY_ONE,True,1,2,0,1166,for loop condition,1,
58,ML,1,911010,310,matrix-diagonal-sum,Matrix Diagonal Sum,easy,nested indexing and double counting,4,repeated_conceptual_error,off_by_one_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,gemini,"You're on the right track with iterating through the matrix, but double-check your loop condition to ensure you're accessing the correct elements for the sum. Consider how the loop index relates to the array bounds.",OFF_BY_ONE,True,1,2,0,657,for loop condition,1,
59,ML,1,911010,310,matrix-diagonal-sum,Matrix Diagonal Sum,easy,nested indexing and double counting,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,template,Compare this part of your logic with the task requirement.,UNKNOWN,True,1,2,0,990,logic block,1,
60,ML,1,911010,310,matrix-diagonal-sum,Matrix Diagonal Sum,easy,nested indexing and double counting,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,template,Good progress. Continue working.,UNKNOWN,True,3,0,0,572,logic block,1,
61,ML,1,911011,311,roman-to-integer,Roman to Integer,easy,lookahead condition,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there's a small syntax issue with how the statement is ending. Double-check the punctuation that usually follows a complete statement in Java.,SYNTAX_ERROR,False,0,0,0,833,statement ending,1,
62,ML,1,911011,311,roman-to-integer,Roman to Integer,easy,lookahead condition,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,gemini,Great start on the problem!  Consider what the `progress` variable should represent and how you might update it within the loop.,STUCK_NO_PROGRESS,True,0,3,0,779,unfinished implementation,2,
63,ML,1,911011,311,roman-to-integer,Roman to Integer,easy,lookahead condition,3,first_conceptual_error,off_by_one_first,CODE_HIGHLIGHT,First substantial mistake should receive the least sufficient intervention.,200,CODE_HIGHLIGHT,true,template,Check the for loop condition. There may be a small issue here.,OFF_BY_ONE,True,1,2,0,1542,for loop condition,1,
64,ML,1,911011,311,roman-to-integer,Roman to Integer,easy,lookahead condition,4,repeated_conceptual_error,off_by_one_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,template,Think about the loop boundaries. Are you iterating one step too far?,OFF_BY_ONE,True,1,2,0,1714,for loop condition,1,
65,ML,1,911011,311,roman-to-integer,Roman to Integer,easy,lookahead condition,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,"Great start! It looks like you've got the basic idea, but let's revisit the logic within this block to ensure it handles all the conditions correctly.",UNKNOWN,True,1,2,0,2072,logic block,1,
66,ML,1,911011,311,roman-to-integer,Roman to Integer,easy,lookahead condition,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,template,Good progress. Continue working.,UNKNOWN,True,3,0,0,638,logic block,1,
67,ML,1,911012,312,climbing-stairs,Climbing Stairs,easy,base cases and recurrence,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,gemini,It looks like there might be a small syntax error with how your statement is ending. Double-check the punctuation required at the end of your variable declaration.,SYNTAX_ERROR,False,0,0,0,1279,statement ending,1,
68,ML,1,911012,312,climbing-stairs,Climbing Stairs,easy,base cases and recurrence,2,planning,unfinished_implementation,GUIDING_QUESTION,Unfinished code should prompt the student to state the next step.,200,GUIDING_QUESTION,true,template,What should be true at each iteration for your algorithm to work correctly?,STUCK_NO_PROGRESS,True,0,3,0,1293,unfinished implementation,2,
69,ML,1,911012,312,climbing-stairs,Climbing Stairs,easy,base cases and recurrence,3,first_conceptual_error,wrong_condition_first,CONCEPTUAL_HINT,First substantial mistake should receive the least sufficient intervention.,200,CONCEPTUAL_HINT,true,gemini,You're on the right track with how you're updating `a` and `b`! Consider what condition would allow the loop to terminate after the desired number of Fibonacci numbers have been generated.,WRONG_CONDITION,True,1,2,0,3091,while condition,1,
70,ML,1,911012,312,climbing-stairs,Climbing Stairs,easy,base cases and recurrence,4,repeated_conceptual_error,wrong_condition_repeat,CONCEPTUAL_HINT,Repeated mistake should move from location cue to conceptual support.,200,CONCEPTUAL_HINT,true,template,Review the condition carefully. Does it describe the exact stopping rule?,WRONG_CONDITION,True,1,2,0,2121,while condition,1,
71,ML,1,911012,312,climbing-stairs,Climbing Stairs,easy,base cases and recurrence,5,partial_logic,partial_but_compiling,CONCEPTUAL_HINT,Compiling but incomplete logic should receive a compact conceptual nudge.,200,CONCEPTUAL_HINT,true,gemini,"You're on the right track with incrementing the checkpoint, but it seems like the logic in that block isn't quite matching the requirements for all test cases. Think about how the checkpoint should change based on the conditions within the task.",UNKNOWN,True,1,2,0,868,logic block,1,
72,ML,1,911012,312,climbing-stairs,Climbing Stairs,easy,base cases and recurrence,6,local_completion,locally_complete,NO_FEEDBACK,Locally complete state should not be interrupted.,200,NO_FEEDBACK,true,gemini,"You're very close to the correct solution! Take another look at the condition in your `for` loop, specifically how it relates to the starting index and the total number of iterations needed.",OFF_BY_ONE,True,1,2,0,786,for loop condition,1,
73,ML,2,912001,301,palindrome,Valid Palindrome,easy,two pointers and string normalization,1,syntax,missing_statement_ending,CODE_HIGHLIGHT,First syntax error should be localized before giving a concept explanation.,200,CODE_HIGHLIGHT,true,template,Check the statement ending. There may be a small issue here.,SYNTAX_ERROR,False,0,0,0,1248,statement ending,1,
